"","id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","review_scores_rating","instant_bookable","reviews_per_month","year"
"1272","37328570","64841522",2016-03-29,"N/A",NA,NA,"f","t","f","Cité Universitaire",46.77855,-71.30481,"Entire apartment","Entire home/apt",4,"1 bath",2,101,2,21,0,4,4.5,"f",0.17,5
"1273","37328922","281059923",2019-07-31,"within an hour",100,92,"f","t","t","Saint-Jean-Baptiste",46.81129,-71.21812,"Entire apartment","Entire home/apt",3,"1 bath",2,151,1,1000,336,19,4.68,"t",0.82,2
"1274","37401742","76409469",2016-06-07,"within an hour",100,91,"t","t","t","Sillery",46.78075,-71.2631,"Entire guesthouse","Entire home/apt",5,"1 bath",3,90,2,30,62,27,4.89,"f",1.41,5
"1275","37409574","281888918",2019-08-02,"within an hour",100,98,"f","t","t","Vieux-Limoilou",46.8308,-71.23175,"Entire apartment","Entire home/apt",4,"1 bath",2,106,2,1125,262,57,4.42,"t",2.45,2
"1276","37443285","132323459",2017-05-28,"within an hour",100,99,"t","t","t","Montcalm",46.80018,-71.23628,"Entire loft","Entire home/apt",2,"1 bath",1,91,2,4,29,158,4.91,"f",7.06,4
"1277","37458695","249292109",2019-03-16,"within an hour",100,99,"f","t","t","Saint-Sauveur",46.80868,-71.23677,"Entire condominium","Entire home/apt",4,"1 bath",1,90,1,30,73,83,4.7,"t",3.55,2
"1278","37487481","282810603",2019-08-05,"N/A",NA,NA,"f","t","f","Saint-Sauveur",46.81084,-71.24032,"Entire apartment","Entire home/apt",12,"2 baths",7,485,90,1125,89,11,4.27,"f",0.54,2
"1279","37533621","155746111",2017-10-22,"within a few hours",100,100,"f","t","t","Maizerets",46.8423,-71.22812,"Entire apartment","Entire home/apt",6,"1 bath",2,45,3,1125,0,11,4.64,"f",0.5,4
"1280","37535868","87143627",2016-07-31,"within an hour",100,100,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81306,-71.20339,"Entire apartment","Entire home/apt",2,"1 bath",1,151,3,1125,7,19,5,"f",1.01,5
"1281","37676393","284731705",2019-08-11,"within an hour",100,98,"f","t","f","Saint-Jean-Baptiste",46.80827,-71.22335,"Entire apartment","Entire home/apt",4,"1 bath",2,117,2,1125,176,35,4.23,"f",1.55,2
"1282","37707198","284998802",2019-08-12,"within an hour",99,99,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81587,-71.20445,"Entire apartment","Entire home/apt",8,"2.5 baths",4,500,1,1125,285,33,4.94,"t",2.7,2
"1283","37719411","45513795",2015-10-01,"within a few hours",100,82,"f","t","t","Quartier 5-4",46.871,-71.19055,"Entire house","Entire home/apt",6,"2 baths",3,175,2,1125,0,24,4.78,"t",1.09,6
"1284","37770287","193766296",2018-06-05,"within an hour",100,99,"t","t","t","Saint-Roch",46.81658,-71.22104,"Entire apartment","Entire home/apt",4,"1 bath",2,138,1,1125,47,91,4.85,"t",4.11,3
