id,host_id,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,year,host_acceptance_rate,host_response_rate,price_boxcox,weights
46587357,310071000,within an hour,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81033,-71.2098,Entire condominium,Entire home/apt,4,1 bath,2,212,2,1125,279,11,5,t,1.76,2,99,100,5.3565862747,1
46601425,134770508,within an hour,t,t,t,Quartier 5-4,46.8723,-71.17591,Entire apartment,Entire home/apt,4,1 bath,3,87,2,1125,114,9,5,f,1.45,4,98,100,4.4659081187,1
46605439,36195411,within an hour,t,t,t,Saint-Sauveur,46.80935,-71.25204,Entire apartment,Entire home/apt,4,1 bath,1,106,1,1125,166,18,5,t,4.25,6,100,100,4.6634390941,1
46619277,376872454,within an hour,f,t,t,Neufchâtel-Est/Lebourgneuf,46.84866,-71.3148,Entire apartment,Entire home/apt,8,1 bath,3,160,2,1125,358,2,5,t,0.31,1,100,100,5.0751738152,1
46628693,317287053,within an hour,f,t,t,Vanier,46.81389,-71.26076,Private room in house,Private room,2,1 shared bath,0,28,1,365,340,5,4,f,0.93,2,73,100,3.3322045102,0.6423089386
46663073,371711595,within an hour,t,t,t,Saint-Roch,46.81354,-71.22682,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,353,5,4.6,t,1.19,1,100,100,4.9199809258,1
46663153,371711595,within an hour,t,t,t,Saint-Roch,46.8134,-71.22625,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,333,17,4.65,t,2.38,1,100,100,4.9199809258,1
46676214,200189279,within a day,f,t,f,Saint-Jean-Baptiste,46.80819,-71.22704,Entire apartment,Entire home/apt,2,1.5 baths,1,95,2,1125,183,1,4,f,0.16,3,67,100,4.5538768916,1
46683352,141683314,within a few hours,f,t,t,Saint-Jean-Baptiste,46.808,-71.22578,Entire apartment,Entire home/apt,4,1 bath,2,50,4,20,0,1,5,f,0.73,4,77,100,3.9120230054,0.8242581577
46690094,11742639,within a few hours,f,t,t,Saint-Sauveur,46.81252,-71.23856,Entire loft,Entire home/apt,4,1 bath,2,232,1,7,153,29,5,f,4.29,7,100,100,5.4467373717,1
46709081,377517045,within an hour,f,t,t,Saint-Roch,46.81362,-71.22838,Entire apartment,Entire home/apt,2,1 bath,1,95,2,1125,88,4,4.5,t,0.75,1,100,100,4.5538768916,1
46709851,377525081,within a few hours,f,t,t,Saint-Roch,46.81376,-71.22816,Entire loft,Entire home/apt,2,1 bath,1,109,2,1125,90,6,4.5,t,1.08,1,100,70,4.6913478822,1
46710294,321313868,within a day,f,t,t,Saint-Roch,46.81234,-71.22932,Entire apartment,Entire home/apt,4,1 bath,1,95,2,1125,145,3,4,t,0.71,2,99,80,4.5538768916,1
46722888,377621326,within a day,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80944,-71.20498,Entire apartment,Entire home/apt,2,1 bath,1,269,1,143,344,2,5,t,0.44,1,27,80,5.5947113796,0.7850844361
46729159,73397258,within an hour,f,t,t,Saint-Sauveur,46.80963,-71.24515,Entire apartment,Entire home/apt,4,1 bath,2,162,2,365,89,2,5,t,0.63,5,94,90,5.0875963352,1
46778322,61856688,within an hour,f,t,t,Quartier 4-5,46.86219,-71.27807,Entire townhouse,Entire home/apt,4,1.5 baths,2,110,1,1125,18,4,5,f,0.96,5,100,100,4.7004803658,1
46787763,360561337,within an hour,t,t,t,Saint-Roch,46.81389,-71.22654,Entire condominium,Entire home/apt,7,2 baths,4,289,1,1125,292,10,4.6,t,1.55,1,100,100,5.6664266881,1
46789805,360561337,within an hour,t,t,t,Saint-Roch,46.81278,-71.22683,Entire condominium,Entire home/apt,6,1 bath,2,200,1,1125,325,4,5,t,0.65,1,100,100,5.2983173665,1
46879613,75963676,within an hour,f,t,t,Saint-Roch,46.81493,-71.22796,Entire loft,Entire home/apt,3,1 bath,1,89,1,30,291,22,4.64,t,7.02,5,99,100,4.4886363697,1
46926873,265667177,within an hour,t,t,f,Saint-Sacrement,46.78843,-71.25472,Entire condominium,Entire home/apt,4,1 bath,2,109,1,1125,64,66,4.79,t,9.8,2,100,96,4.6913478822,1
